3,0.095311000,6,10.12.28.101,199.188.200.142,49163,80,,,52,20,0x00000002,32,,0,0,,,
4,0.160786000,6,199.188.200.142,10.12.28.101,80,49163,,,44,20,0x00000012,24,,0,1,,,
5,0.160967000,6,10.12.28.101,199.188.200.142,49163,80,,,40,20,0x00000010,20,,0,1,,,
6,0.161506000,6,10.12.28.101,199.188.200.142,49163,80,,,342,20,0x00000018,20,,0,1,,,
7,0.161515000,6,199.188.200.142,10.12.28.101,80,49163,,,40,20,0x00000010,20,,0,303,,,
8,0.282832000,6,199.188.200.142,10.12.28.101,80,49163,,,1316,20,0x00000018,20,,0,303,,,
9,0.282941000,6,10.12.28.101,199.188.200.142,49163,80,,,40,20,0x00000010,20,,0,1277,,,
10,0.283184000,6,199.188.200.142,10.12.28.101,80,49163,,,1316,20,0x00000018,20,,0,303,,,
11,0.283281000,6,199.188.200.142,10.12.28.101,80,49163,,,1316,20,0x00000018,20,,0,303,,,
12,0.283633000,6,10.12.28.101,199.188.200.142,49163,80,,,40,20,0x00000010,20,,0,3829,,,
13,0.283639000,6,199.188.200.142,10.12.28.101,80,49163,,,1316,20,0x00000018,20,,0,303,,,
14,0.283662000,6,199.188.200.142,10.12.28.101,80,49163,,,1500,20,0x00000010,20,,0,303,,,
15,0.283664000,6,199.188.200.142,10.12.28.101,80,49163,,,1132,20,0x00000018,20,,0,303,,,
16,0.283666000,6,199.188.200.142,10.12.28.101,80,49163,,,1316,20,0x00000018,20,,0,303,,,
17,0.283757000,6,199.188.200.142,10.12.28.101,80,49163,,,1316,20,0x00000018,20,,0,303,,,
18,0.283840000,6,10.12.28.101,199.188.200.142,49163,80,,,40,20,0x00000010,20,,0,10209,,,
19,0.285080000,6,199.188.200.142,10.12.28.101,80,49163,,,1316,20,0x00000018,20,,0,303,,,
20,0.285089000,6,199.188.200.142,10.12.28.101,80,49163,,,1316,20,0x00000018,20,,0,303,,,
21,0.285431000,6,10.12.28.101,199.188.200.142,49163,80,,,40,20,0x00000010,20,,0,12761,,,
22,0.296829000,6,10.12.28.101,199.188.200.142,49163,80,,,40,20,0x00000010,20,,0,12761,,,
23,0.355008000,6,199.188.200.142,10.12.28.101,80,49163,,,1316,20,0x00000018,20,,0,303,,,
24,0.355287000,6,199.188.200.142,10.12.28.101,80,49163,,,1500,20,0x00000010,20,,0,303,,,
25,0.355447000,6,199.188.200.142,10.12.28.101,80,49163,,,1132,20,0x00000018,20,,0,303,,,
26,0.355745000,6,199.188.200.142,10.12.28.101,80,49163,,,1316,20,0x00000018,20,,0,303,,,
27,0.355758000,6,199.188.200.142,10.12.28.101,80,49163,,,1316,20,0x00000018,20,,0,303,,,
28,0.355762000,6,199.188.200.142,10.12.28.101,80,49163,,,1316,20,0x00000018,20,,0,303,,,
29,0.355904000,6,10.12.28.101,199.188.200.142,49163,80,,,40,20,0x00000010,20,,0,20417,,,
30,0.357151000,6,199.188.200.142,10.12.28.101,80,49163,,,1500,20,0x00000010,20,,0,303,,,
31,0.357163000,6,199.188.200.142,10.12.28.101,80,49163,,,1500,20,0x00000010,20,,0,303,,,
32,0.357165000,6,199.188.200.142,10.12.28.101,80,49163,,,1500,20,0x00000010,20,,0,303,,,
33,0.357168000,6,199.188.200.142,10.12.28.101,80,49163,,,1500,20,0x00000010,20,,0,303,,,
34,0.357170000,6,199.188.200.142,10.12.28.101,80,49163,,,580,20,0x00000018,20,,0,303,,,
35,0.357316000,6,10.12.28.101,199.188.200.142,49163,80,,,40,20,0x00000010,20,,0,26797,,,
36,0.357712000,6,199.188.200.142,10.12.28.101,80,49163,,,1316,20,0x00000018,20,,0,303,,,
37,0.357718000,6,199.188.200.142,10.12.28.101,80,49163,,,1316,20,0x00000018,20,,0,303,,,
38,0.357858000,6,199.188.200.142,10.12.28.101,80,49163,,,1316,20,0x00000018,20,,0,303,,,
39,0.357864000,6,199.188.200.142,10.12.28.101,80,49163,,,1316,20,0x00000018,20,,0,303,,,
40,0.358079000,6,10.12.28.101,199.188.200.142,49163,80,,,40,20,0x00000010,20,,0,31901,,,
41,0.431088000,6,199.188.200.142,10.12.28.101,80,49163,,,1316,20,0x00000018,20,,0,303,,,
42,0.431155000,6,199.188.200.142,10.12.28.101,80,49163,,,1316,20,0x00000018,20,,0,303,,,
43,0.431442000,6,199.188.200.142,10.12.28.101,80,49163,,,1316,20,0x00000018,20,,0,303,,,
44,0.431585000,6,199.188.200.142,10.12.28.101,80,49163,,,1500,20,0x00000010,20,,0,303,,,
45,0.431594000,6,199.188.200.142,10.12.28.101,80,49163,,,1132,20,0x00000018,20,,0,303,,,
46,0.431980000,6,199.188.200.142,10.12.28.101,80,49163,,,1316,20,0x00000018,20,,0,303,,,
47,0.431993000,6,10.12.28.101,199.188.200.142,49163,80,,,40,20,0x00000010,20,,0,34453,,,
