106,78.663097000,6,10.12.27.102,74.220.219.67,49167,80,,,52,20,0x0002,32,,,
107,78.833827000,6,74.220.219.67,10.12.27.102,80,49167,,,44,20,0x0012,24,,,
108,78.833981000,6,10.12.27.102,74.220.219.67,49167,80,,,40,20,0x0010,20,,,
109,78.834184000,6,10.12.27.102,74.220.219.67,49167,80,,,302,20,0x0018,20,,,
110,78.834189000,6,74.220.219.67,10.12.27.102,80,49167,,,40,20,0x0010,20,,,
111,79.010714000,6,74.220.219.67,10.12.27.102,80,49167,,,352,20,0x0018,20,,,
112,79.010934000,6,10.12.27.102,74.220.219.67,49167,80,,,40,20,0x0010,20,,,
151,89.122112000,6,74.220.219.67,10.12.27.102,80,49167,,,40,20,0x0019,20,,,
152,89.124280000,6,10.12.27.102,74.220.219.67,49167,80,,,40,20,0x0010,20,,,
224,198.029053000,6,10.12.27.102,74.220.219.67,49167,80,,,40,20,0x0011,20,,,
225,198.029081000,6,74.220.219.67,10.12.27.102,80,49167,,,40,20,0x0010,20,,,
